# Data created: 21/10/2021 19:32
# Absorption length for aerogel with inital data from op9_38_11_labs_2006.raw

# wavelength [nm]  photon_energy [eV]  absorption_length [mm]
#------------------------------------------------------------
200.0   6.19921      1.00
210.0   5.90401      1.00
220.0   5.63565      1.00
230.0   5.39062      1.00
240.0   5.16601    142.74
250.0   4.95937    118.06
260.0   4.76862    152.50
270.0   4.59201    236.84
280.0   4.42801    361.85
290.0   4.27532    522.18
300.0   4.13281    728.00
310.0   3.99949   1002.17
320.0   3.87451   1402.70
330.0   3.75710   1935.83
340.0   3.64659   2365.41
350.0   3.54241   2536.09
360.0   3.44401   2858.21
370.0   3.35092   3683.41
380.0   3.26274   4563.00
390.0   3.17908   5011.91
400.0   3.09960   5200.00
410.0   3.02400   5405.63
420.0   2.95200   5686.24
430.0   2.88335   6044.03
440.0   2.81782   6481.21
450.0   2.75520   7000.00
460.0   2.69531   7595.43
470.0   2.63796   8233.91
480.0   2.58300   8874.67
490.0   2.53029   9476.95
500.0   2.47968  10000.00
510.0   2.43106  10000.00
520.0   2.38431  10000.00
530.0   2.33932  10000.00
540.0   2.29600  10000.00
550.0   2.25426  10000.00
560.0   2.21400  10000.00
570.0   2.17516  10000.00
580.0   2.13766  10000.00
590.0   2.10143  10000.00
600.0   2.06640  10000.00
610.0   2.03253  10000.00
620.0   1.99975  10000.00
630.0   1.96800  10000.00
640.0   1.93725  10000.00
650.0   1.90745  10000.00
660.0   1.87855  10000.00
670.0   1.85051  10000.00
680.0   1.82330  10000.00
690.0   1.79687  10000.00
700.0   1.77120  10000.00
710.0   1.74626  10000.00
720.0   1.72200  10000.00
730.0   1.69841  10000.00
740.0   1.67546  10000.00
750.0   1.65312  10000.00
760.0   1.63137  10000.00
770.0   1.61018  10000.00
780.0   1.58954  10000.00
790.0   1.56942  10000.00
800.0   1.54980  10000.00
810.0   1.53067  10000.00
820.0   1.51200  10000.00
830.0   1.49379  10000.00
840.0   1.47600  10000.00
850.0   1.45864  10000.00
860.0   1.44168  10000.00
870.0   1.42511  10000.00
880.0   1.40891  10000.00
890.0   1.39308  10000.00
900.0   1.37760  10000.00
