# Data created: 21/10/2021 19:32
# Scattering length for aerogel with Lsc(400)=37.5 mm

# wavelength [nm]  photon_energy [eV]  scattering_length [mm]
#------------------------------------------------------------
200.0   6.19921     2.34
210.0   5.90401     2.85
220.0   5.63565     3.43
230.0   5.39062     4.10
240.0   5.16601     4.86
250.0   4.95937     5.72
260.0   4.76862     6.69
270.0   4.59201     7.78
280.0   4.42801     9.00
290.0   4.27532    10.36
300.0   4.13281    11.87
310.0   3.99949    13.53
320.0   3.87451    15.36
330.0   3.75710    17.37
340.0   3.64659    19.58
350.0   3.54241    21.98
360.0   3.44401    24.60
370.0   3.35092    27.45
380.0   3.26274    30.54
390.0   3.17908    33.89
400.0   3.09960    37.50
410.0   3.02400    41.39
420.0   2.95200    45.58
430.0   2.88335    50.08
440.0   2.81782    54.90
450.0   2.75520    60.07
460.0   2.69531    65.59
470.0   2.63796    71.48
480.0   2.58300    77.76
490.0   2.53029    84.45
500.0   2.47968    91.55
510.0   2.43106    99.10
520.0   2.38431   107.10
530.0   2.33932   115.58
540.0   2.29600   124.56
550.0   2.25426   134.04
560.0   2.21400   144.06
570.0   2.17516   154.63
580.0   2.13766   165.77
590.0   2.10143   177.50
600.0   2.06640   189.84
610.0   2.03253   202.82
620.0   1.99975   216.45
630.0   1.96800   230.76
640.0   1.93725   245.76
650.0   1.90745   261.48
660.0   1.87855   277.95
670.0   1.85051   295.18
680.0   1.82330   313.20
690.0   1.79687   332.04
700.0   1.77120   351.71
710.0   1.74626   372.24
720.0   1.72200   393.66
730.0   1.69841   415.99
740.0   1.67546   439.26
750.0   1.65312   463.49
760.0   1.63137   488.70
770.0   1.61018   514.94
780.0   1.58954   542.21
790.0   1.56942   570.56
800.0   1.54980   600.00
810.0   1.53067   630.57
820.0   1.51200   662.29
830.0   1.49379   695.19
840.0   1.47600   729.30
850.0   1.45864   764.66
860.0   1.44168   801.28
870.0   1.42511   839.21
880.0   1.40891   878.46
890.0   1.39308   919.08
900.0   1.37760   961.08
