# Data created: 21/10/2021 19:32
# Reflective index for aerogel with n(400)=1.0300

# wavelength [nm]  photon_energy [eV]  reflection_index
#------------------------------------------------------
200.0   6.19921  1.03463
210.0   5.90401  1.03398
220.0   5.63565  1.03344
230.0   5.39062  1.03298
240.0   5.16601  1.03258
250.0   4.95937  1.03224
260.0   4.76862  1.03195
270.0   4.59201  1.03169
280.0   4.42801  1.03146
290.0   4.27532  1.03126
300.0   4.13281  1.03108
310.0   3.99949  1.03092
320.0   3.87451  1.03077
330.0   3.75710  1.03064
340.0   3.64659  1.03052
350.0   3.54241  1.03042
360.0   3.44401  1.03032
370.0   3.35092  1.03023
380.0   3.26274  1.03015
390.0   3.17908  1.03007
400.0   3.09960  1.03000
410.0   3.02400  1.02994
420.0   2.95200  1.02988
430.0   2.88335  1.02982
440.0   2.81782  1.02977
450.0   2.75520  1.02972
460.0   2.69531  1.02968
470.0   2.63796  1.02964
480.0   2.58300  1.02960
490.0   2.53029  1.02956
500.0   2.47968  1.02953
510.0   2.43106  1.02949
520.0   2.38431  1.02946
530.0   2.33932  1.02944
540.0   2.29600  1.02941
550.0   2.25426  1.02938
560.0   2.21400  1.02936
570.0   2.17516  1.02934
580.0   2.13766  1.02931
590.0   2.10143  1.02929
600.0   2.06640  1.02927
610.0   2.03253  1.02926
620.0   1.99975  1.02924
630.0   1.96800  1.02922
640.0   1.93725  1.02921
650.0   1.90745  1.02919
660.0   1.87855  1.02918
670.0   1.85051  1.02916
680.0   1.82330  1.02915
690.0   1.79687  1.02914
700.0   1.77120  1.02913
710.0   1.74626  1.02911
720.0   1.72200  1.02910
730.0   1.69841  1.02909
740.0   1.67546  1.02908
750.0   1.65312  1.02907
760.0   1.63137  1.02906
770.0   1.61018  1.02905
780.0   1.58954  1.02905
790.0   1.56942  1.02904
800.0   1.54980  1.02903
810.0   1.53067  1.02902
820.0   1.51200  1.02901
830.0   1.49379  1.02901
840.0   1.47600  1.02900
850.0   1.45864  1.02899
860.0   1.44168  1.02899
870.0   1.42511  1.02898
880.0   1.40891  1.02898
890.0   1.39308  1.02897
900.0   1.37760  1.02896
